I,From,To,Dijkstra Time,Dijkstra Relaxed,Bidirectional Dijkstra Time,Bidirectional Dijkstra Relaxed,Contraction Hierarchy Time,Contraction Hierarchy Relaxed
479,692946572,1089214648,319858700,1796942,357380200,1748149,2485601,11158
480,3708486071,3256192693,83378801,618457,106701100,619342,1240800,6262
481,949472672,1213801741,48271100,395096,38906500,255862,1144701,4984
482,1728870342,264129451,16510101,154064,12127699,100005,513100,2537
483,447560577,1582185477,75961701,607988,124214901,642250,1540700,7237
484,1561074304,1575520232,108757900,820372,156304601,912164,1601000,9031
485,1248811504,2442813238,221897200,1570073,192746899,1093058,2291600,9587
486,1126061818,1616870185,383927000,2253408,435780000,2100015,2520700,10560
487,269009153,1736947441,1022900,11431,1224800,10933,73300,278
488,1085449872,3211403800,39788700,336135,28442300,175944,871601,4597
489,1313902826,5344827023,328808200,1692733,246470300,1074216,3204800,9745
490,288939326,1625204105,329145301,2117187,250460301,1452209,1893400,8571
491,1788567364,4217608503,385688200,1963057,374328000,1746671,2257700,9408
492,1203772476,1262325848,243159000,1591928,199883699,1127443,1824300,9031
493,278599552,117915,99102401,638668,39671901,245252,1309400,6680
494,4692779443,2319508881,234581200,1659621,207519199,1162205,1848300,9102
495,2869221736,2627193123,383159900,2391352,360294400,1927491,1712100,8001
496,4788446876,1498671449,18490000,175247,16021400,130358,585101,2987
497,1209653115,2214656624,324323401,1854755,229305999,1311072,1851100,8569
498,2224789959,305725236,28604301,219708,36960099,265046,1040500,4072
499,4327466832,3640514596,287126201,1724398,416431501,1850523,1599400,7065
500,1978418877,1686070442,10136000,78716,13789000,87636,774200,3327
501,3795846300,2312072278,253674300,1194889,122632001,563519,2939400,6954
502,864034610,1201791940,240310900,1471705,247562599,1155620,2234200,9818
503,1145576599,1096310226,324699499,1821741,495344800,1962765,4007300,11323
504,3737643035,2334979797,341944200,2267636,472443099,2085801,1997400,9744
505,1411434752,3160855888,52803400,413096,27334600,202619,1053600,5837
506,1144065383,450180044,151209200,1076004,134823701,737905,998800,4911
507,988905057,1727709935,119114100,868041,151954200,908819,1958600,8744
508,1021403066,4180296907,415633901,2257557,400500999,2055626,2026700,9856
509,2844686311,279829185,79649701,612192,87066200,407826,1065201,5660
510,333134458,5182324524,359616701,2319438,370333100,1841612,1763500,8428
511,670451216,1147138442,398574100,1757365,402951400,1761543,1906901,6765
512,1377590133,1119574506,40249301,305701,38195700,221211,1087901,4861
513,747911816,1458116489,278640199,1733696,190236100,1008894,1805400,9821
514,1096800006,5226303620,202906300,1105164,148734901,829515,1503800,7391
515,2058835706,1414518350,342291200,2325883,366905400,1934436,1809499,8272
516,1082009388,1103724305,229432999,1289425,192666800,1111535,1814901,8777
517,1125193215,743378305,35850600,303632,35155300,223045,824600,4177
518,1270712269,3389301328,201391299,1424180,119628700,726515,1527100,6626
519,732811884,4477569032,207506900,1092999,143173100,637734,4859300,10832
520,64856365,4633374988,40445300,309892,21910099,168423,494899,2380
521,1148889153,1734348827,56410900,436418,79362100,548363,1071999,6071
