I,From,To,Dijkstra Time,Dijkstra Relaxed,Bidirectional Dijkstra Time,Bidirectional Dijkstra Relaxed,Contraction Hierarchy Time,Contraction Hierarchy Relaxed
64,279701177,95353059,456352800,1845734,558593600,1883039,2668500,10166
65,235494072,3503712147,199645399,975574,158850200,529005,2091500,8012
66,1326239857,923240393,398930300,1695640,259116100,939884,1708501,5206
67,1092379090,1465313281,197052400,846073,91368000,389454,1394100,4336
68,1114488246,4062226951,14832200,72226,10720000,54079,778800,1354
69,292210361,297009848,291522601,1531993,411567799,1599573,1920300,7416
70,2584653345,4291048424,337579600,1810742,172360600,841205,1640200,5928
71,24359841,1100923626,409692399,2346606,477719600,1982275,2144300,8104
72,256911734,982765860,376985900,1290240,168290899,615052,1691000,7270
73,5226088022,3473270735,403819500,2176931,442948800,1909562,2409600,10436
74,1126424990,3243528416,473200,5432,1186700,12074,57900,139
75,2397013844,279919063,398288000,2241710,515631901,2047515,2727701,13089
76,1506226362,410642935,175807899,814339,178960799,738937,2054401,10674
77,3030931703,4368467219,468851700,2404569,539257701,2074757,2339000,8674
78,2312476275,613438687,228912401,1057848,452768000,1729009,2884400,11654
79,1414517171,269271599,311351200,862079,98469200,449004,1019300,3460
80,1931047047,29971873,306138100,1427968,176697600,836775,2031300,10221
81,3755096838,124137625,220378200,1371632,286731400,1282754,1538700,7299
82,288862600,691804,51513100,357871,46234899,226663,892401,3757
83,1402575450,357474669,148311301,920800,121969901,653073,1744100,6205
84,1315495954,293805478,250092701,1592497,128147000,719931,1573000,8262
85,891069471,291694007,411183400,2285802,562981400,1926496,2656101,9127
86,5120491763,258375014,381514000,1710863,428104400,1971098,2496600,11654
87,4519617401,254946848,315970401,2121956,372847899,1856842,1923700,9985
88,1688791618,1507943979,86926701,565179,69283501,356925,1604501,6830
89,62926231,2412956458,77760200,471534,175065599,498477,1779900,8216
90,4791761174,1221739044,351190100,1737909,327965700,1299963,3633901,7762
91,2282092371,293011705,221273399,1043587,495592600,2065869,2395600,9017
92,477274823,2361417069,362304200,2156235,542650000,1992961,1453501,7035
93,1064956118,417755352,70677700,429669,46857900,254306,917900,4165
94,3760844175,73320065,10282900,85793,8202600,62582,593000,2649
